field,volume,subject,te,slice,dice_pre,dice_ft
lowfield,sub-003_ses-01_acq-ax_run-07_T2w,sub-003,TE3,9,0.0060901339165866375,0.968189001083374
lowfield,sub-003_ses-01_acq-ax_run-07_T2w,sub-003,TE3,10,0.0,0.9459552764892578
lowfield,sub-003_ses-01_acq-cor_run-08_T2w,sub-003,TE3,10,0.017167381942272186,0.9514298439025879
lowfield,sub-003_ses-01_acq-cor_run-08_T2w,sub-003,TE3,14,0.0,0.9162371158599854
lowfield,sub-004_ses-01_acq-ax_run-07_T2w,sub-004,TE3,9,0.0,0.9271736741065979
lowfield,sub-004_ses-01_acq-ax_run-07_T2w,sub-004,TE3,10,0.0,0.9382538199424744
lowfield,sub-006_ses-01_acq-ax_run-07_T2w,sub-006,TE3,5,0.0,0.9566774964332581
lowfield,sub-006_ses-01_acq-ax_run-07_T2w,sub-006,TE3,6,0.0,0.9625457525253296
lowfield,sub-006_ses-01_acq-ax_run-07_T2w,sub-006,TE3,7,0.0,0.9748324155807495
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,6,0.0,0.9547107219696045
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,7,0.0,0.9157909750938416
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,8,0.003158726030960679,0.9088032245635986
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,9,0.0,0.9072389006614685
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,11,0.0,0.9191300868988037
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,12,0.0,0.9172124862670898
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,13,0.0,0.9178881645202637
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,14,0.0,0.9330578446388245
lowfield,sub-006_ses-01_acq-cor_run-08_T2w,sub-006,TE3,18,0.0,0.9277603030204773
lowfield,sub-006_ses-01_acq-sag_run-03_T2w,sub-006,TE1,10,0.042707860469818115,0.9236726760864258
lowfield,sub-006_ses-01_acq-sag_run-09_T2w,sub-006,TE3,5,0.0,0.9110802412033081
lowfield,sub-006_ses-01_acq-sag_run-09_T2w,sub-006,TE3,16,0.0,0.9047619104385376
lowfield,sub-006_ses-01_acq-sag_run-09_T2w,sub-006,TE3,17,0.0023350846022367477,0.9206847548484802
lowfield,sub-007_ses-01_acq-ax_run-07_T2w,sub-007,TE3,14,0.0,0.9351412057876587
lowfield,sub-007_ses-01_acq-ax_run-07_T2w,sub-007,TE3,18,0.0,0.9382638931274414
lowfield,sub-007_ses-01_acq-ax_run-07_T2w,sub-007,TE3,19,0.0,0.9512622356414795
lowfield,sub-007_ses-01_acq-ax_run-07_T2w,sub-007,TE3,20,0.0,0.9519317150115967
lowfield,sub-007_ses-01_acq-cor_run-05_T2w,sub-007,TE2,13,0.04126984253525734,0.9302123785018921
lowfield,sub-007_ses-01_acq-cor_run-05_T2w,sub-007,TE2,24,0.003561887890100479,0.9086021780967712
lowfield,sub-007_ses-01_acq-cor_run-08_T2w,sub-007,TE3,9,0.0,0.9547528624534607
lowfield,sub-007_ses-01_acq-cor_run-08_T2w,sub-007,TE3,10,0.0,0.9720708727836609
