Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-1_T2w,0.901555597782135,0.820756733417511,71,8,17,30,0.5666666666666667
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-2_T2w,0.8499436378479004,0.739045262336731,108,18,19,32,0.59375
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-3_T2w,0.8117423057556152,0.6831366419792175,122,17,17,33,0.5151515151515151
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-4_T2w,0.5365360975265503,0.36662065982818604,75,9,15,22,0.6818181818181818
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-5_T2w,0.1236267164349556,0.065885990858078,38,7,8,12,0.6666666666666666
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-6_T2w,0.09589947015047073,0.05036471039056778,11,4,3,5,0.6
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-1_T2w,0.9540591239929199,0.9121540188789368,42,6,7,24,0.2916666666666667
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-2_T2w,0.9560185670852661,0.9157429337501526,26,3,4,21,0.19047619047619047
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-3_T2w,0.9402751922607422,0.8872823715209961,31,6,5,20,0.25
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-4_T2w,0.8160384297370911,0.6892440319061279,49,12,7,16,0.4375
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-5_T2w,0.5372074842453003,0.36724787950515747,29,6,7,13,0.5384615384615384
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-6_T2w,0.40950509905815125,0.2574702501296997,24,9,4,10,0.4
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_echo-1_T2w,0.9716362357139587,0.9448370337486267,29,5,2,24,0.08333333333333333
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_echo-2_T2w,0.951953649520874,0.9083124995231628,27,2,3,24,0.125
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_echo-3_T2w,0.9419143795967102,0.8902062177658081,30,3,5,24,0.20833333333333334
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_echo-4_T2w,0.8055480122566223,0.6744080185890198,49,6,10,21,0.47619047619047616
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_echo-5_T2w,0.32916679978370667,0.19700758159160614,25,6,5,13,0.38461538461538464
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_echo-6_T2w,0.15220582485198975,0.08237163722515106,27,7,6,10,0.6
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_echo-1_T2w,0.9842650294303894,0.9690175652503967,23,2,1,22,0.045454545454545456
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_echo-2_T2w,0.9820526242256165,0.964738130569458,26,3,3,22,0.13636363636363635
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_echo-3_T2w,0.9697349071502686,0.9412479996681213,31,3,7,22,0.3181818181818182
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_echo-4_T2w,0.6809296607971191,0.5162193775177002,95,25,16,20,0.8
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_echo-5_T2w,0.08807935565710068,0.046068523079156876,38,7,7,14,0.5
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_echo-6_T2w,0.029330791905522346,0.014883670955896378,23,5,5,13,0.38461538461538464
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_echo-1_T2w,0.986900806427002,0.9741404056549072,22,1,0,22,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_echo-2_T2w,0.984563946723938,0.9695971608161926,30,6,3,22,0.13636363636363635
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_echo-3_T2w,0.9804938435554504,0.9617340564727783,25,2,3,22,0.13636363636363635
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_echo-4_T2w,0.7535629272460938,0.6045736074447632,71,11,13,20,0.65
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_echo-5_T2w,0.04615546390414238,0.023622894659638405,51,11,9,13,0.6923076923076923
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_echo-6_T2w,0.018759936094284058,0.009468785487115383,24,9,5,9,0.5555555555555556
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-1_T2w,0.9837847352027893,0.9680868983268738,23,1,0,23,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-2_T2w,0.9786336421966553,0.9581611752510071,28,3,3,23,0.13043478260869565
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-3_T2w,0.9737290143966675,0.9488030076026917,31,4,6,23,0.2608695652173913
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-4_T2w,0.9329184293746948,0.8742709755897522,45,5,11,21,0.5238095238095238
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-5_T2w,0.4248217046260834,0.26969754695892334,72,14,9,17,0.5294117647058824
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_echo-6_T2w,0.0008283288334496319,0.00041433601290918887,3,1,0,3,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-1_T2w,0.9604656100273132,0.9239383339881897,29,4,4,22,0.18181818181818182
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-2_T2w,0.9584256410598755,0.9201701879501343,27,3,3,22,0.13636363636363635
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-3_T2w,0.9465741515159607,0.8985673785209656,26,3,4,21,0.19047619047619047
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-4_T2w,0.8967915773391724,0.8128941059112549,25,3,5,19,0.2631578947368421
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-5_T2w,0.8815183639526367,0.7881383895874023,23,2,4,19,0.21052631578947367
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_echo-6_T2w,0.8597791194915771,0.7540460824966431,26,5,4,19,0.21052631578947367
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-1_T2w,0.980522632598877,0.9617895483970642,24,3,1,22,0.045454545454545456
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-2_T2w,0.9789943099021912,0.9588528871536255,24,3,1,22,0.045454545454545456
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-3_T2w,0.977853536605835,0.9566667079925537,24,3,1,22,0.045454545454545456
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-4_T2w,0.9729799032211304,0.9473814964294434,28,5,2,22,0.09090909090909091
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_echo-5_T2w,0.9657675623893738,0.9338012933731079,33,7,3,22,0.13636363636363635
