Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_T2w,0.9422550201416016,0.8908149003982544,30,4,3,25,0.12
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_T2w,0.9507722854614258,0.9061638712882996,41,4,9,26,0.34615384615384615
AttUNet,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_T2w,0.9768011569976807,0.954654335975647,27,2,3,24,0.125
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_T2w,0.9850592017173767,0.970558226108551,23,2,1,22,0.045454545454545456
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_T2w,0.9868642687797546,0.9740691184997559,22,1,0,22,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_T2w,0.9859050512313843,0.972201943397522,23,1,0,23,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_T2w,0.9629862904548645,0.9286148548126221,27,3,3,22,0.13636363636363635
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_T2w,0.981261134147644,0.9632116556167603,24,3,1,22,0.045454545454545456
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_T2w,0.9829583764076233,0.9664878845214844,25,3,2,22,0.09090909090909091
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-7_T2w,0.9687832593917847,0.9394565224647522,14,4,2,10,0.2
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_T2w,0.9852423667907715,0.9709139466285706,24,2,1,23,0.043478260869565216
AttUNet,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-9_T2w,0.8619096875190735,0.7573297619819641,37,13,5,10,0.5
AttUNet,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_T2w,0.9771717190742493,0.9553624987602234,32,5,3,24,0.125
AttUNet,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-2_T2w,0.0,0.0,33,7,8,13,0.6153846153846154
AttUNet,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-3_T2w,0.981713056564331,0.9640828967094421,25,1,0,25,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-4_T2w,0.969825029373169,0.9414178133010864,29,3,4,24,0.16666666666666666
AttUNet,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-5_T2w,0.9541881680488586,0.9123899340629578,39,4,6,27,0.2222222222222222
AttUNet,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-6_T2w,0.9787644743919373,0.9584120512008667,28,4,3,22,0.13636363636363635
AttUNet,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-7_T2w,0.9794907569885254,0.9598059058189392,25,2,1,24,0.041666666666666664
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-1_T2w,0.9847988486289978,0.9700528979301453,28,1,0,28,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-2_T2w,0.9839845895767212,0.9684740304946899,22,1,0,22,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-3_T2w,0.48187336325645447,0.3174131512641907,33,6,7,18,0.3888888888888889
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-4_T2w,0.8685823678970337,0.767693817615509,26,2,4,22,0.18181818181818182
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-5_T2w,0.9758262038230896,0.952793538570404,48,6,11,20,0.55
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-6_T2w,0.9284665584564209,0.8664839863777161,17,2,3,14,0.21428571428571427
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-7_T2w,0.7546052932739258,0.6059165596961975,69,12,16,21,0.7619047619047619
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-8_T2w,0.7384986281394958,0.5854125022888184,31,7,5,15,0.3333333333333333
AttUNet,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-9_T2w,0.8088904619216919,0.6791067123413086,26,5,2,20,0.1
AttUNet,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-2_T2w,0.9848599433898926,0.9701715111732483,28,2,4,24,0.16666666666666666
AttUNet,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-3_T2w,0.9866088628768921,0.9735716581344604,27,2,1,26,0.038461538461538464
AttUNet,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-4_T2w,0.7640240788459778,0.6181545257568359,27,2,1,26,0.038461538461538464
AttUNet,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-5_T2w,0.9847152829170227,0.969890832901001,32,1,0,32,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-6_T2w,0.9855011105537415,0.9714166522026062,25,2,1,24,0.041666666666666664
AttUNet,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-7_T2w,0.9846413135528564,0.9697472453117371,34,2,5,29,0.1724137931034483
AttUNet,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-8_T2w,0.983694851398468,0.9679129123687744,26,1,0,26,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv043_ses-01_acq-haste_run-1_T2w,0.9804244041442871,0.9616004824638367,32,4,5,24,0.20833333333333334
AttUNet,otherscanners,ses-01,anat,sub-chuv043_ses-01_acq-haste_run-2_T2w,0.982933759689331,0.9664402008056641,32,2,1,31,0.03225806451612903
AttUNet,otherscanners,ses-01,anat,sub-chuv043_ses-01_acq-haste_run-3_T2w,0.9867763519287109,0.9738979339599609,26,1,0,26,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv043_ses-01_acq-haste_run-4_T2w,0.9801685810089111,0.9611084461212158,29,3,5,22,0.22727272727272727
AttUNet,otherscanners,ses-01,anat,sub-chuv043_ses-01_acq-haste_run-6_T2w,0.986990213394165,0.9743145108222961,25,1,0,25,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv043_ses-01_acq-haste_run-7_T2w,0.981052577495575,0.9628098607063293,28,3,5,22,0.22727272727272727
AttUNet,otherscanners,ses-01,anat,sub-chuv043_ses-01_acq-haste_run-8_T2w,0.9850730299949646,0.9705851078033447,31,2,1,30,0.03333333333333333
AttUNet,otherscanners,ses-01,anat,sub-chuv050_ses-01_acq-haste_run-1_T2w,0.9723464250564575,0.9461811780929565,27,2,3,24,0.125
AttUNet,otherscanners,ses-01,anat,sub-chuv050_ses-01_acq-haste_run-2_T2w,0.9881137013435364,0.9765066504478455,22,1,0,22,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv050_ses-01_acq-haste_run-3_T2w,0.9824570417404175,0.9655189514160156,27,2,5,22,0.22727272727272727
AttUNet,otherscanners,ses-01,anat,sub-chuv050_ses-01_acq-haste_run-4_T2w,0.9703872203826904,0.9424778819084167,4,2,1,3,0.3333333333333333
AttUNet,otherscanners,ses-01,anat,sub-chuv050_ses-01_acq-haste_run-5_T2w,0.9822997450828552,0.9652152061462402,27,2,5,22,0.22727272727272727
AttUNet,otherscanners,ses-01,anat,sub-chuv050_ses-01_acq-haste_run-6_T2w,0.9845800995826721,0.9696285724639893,24,2,2,22,0.09090909090909091
AttUNet,otherscanners,ses-01,anat,sub-chuv050_ses-01_acq-haste_run-7_T2w,0.987822413444519,0.9759377837181091,22,1,0,22,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv050_ses-01_acq-haste_run-8_T2w,0.9844604134559631,0.9693964123725891,25,2,1,24,0.041666666666666664
AttUNet,otherscanners,ses-01,anat,sub-chuv068_ses-01_acq-haste_run-1_T2w,0.9541752338409424,0.9123663306236267,19,2,1,18,0.05555555555555555
AttUNet,otherscanners,ses-01,anat,sub-chuv068_ses-01_acq-haste_run-2_T2w,0.968860924243927,0.9396025538444519,22,4,2,16,0.125
AttUNet,otherscanners,ses-01,anat,sub-chuv068_ses-01_acq-haste_run-3_T2w,0.9787411689758301,0.9583674073219299,22,1,0,22,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv068_ses-01_acq-haste_run-4_T2w,0.9626007676124573,0.9278981685638428,18,1,0,18,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv068_ses-01_acq-haste_run-5_T2w,0.9769086241722107,0.9548596143722534,23,3,2,20,0.1
AttUNet,otherscanners,ses-01,anat,sub-chuv068_ses-01_acq-haste_run-6_T2w,0.9754173755645752,0.9520143866539001,22,1,0,22,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv068_ses-01_acq-haste_run-7_T2w,0.9585061073303223,0.9203184843063354,22,2,2,20,0.1
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-1_T2w,0.9730306267738342,0.9474777579307556,31,6,6,18,0.3333333333333333
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-2_T2w,0.982757568359375,0.9660996794700623,21,3,1,19,0.05263157894736842
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-3_T2w,0.979812741279602,0.9604244828224182,22,2,1,21,0.047619047619047616
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-4_T2w,0.9861212968826294,0.9726225733757019,23,1,0,23,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-5_T2w,0.9741352200508118,0.9495746493339539,17,1,0,17,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-6_T2w,0.8535224795341492,0.7444738149642944,28,4,6,17,0.35294117647058826
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-7_T2w,0.9792061448097229,0.9592594504356384,20,1,0,20,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-8_T2w,0.9781030416488647,0.9571444392204285,16,1,0,16,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv104_ses-01_acq-haste_run-9_T2w,0.981398344039917,0.9634761214256287,23,2,1,22,0.045454545454545456
AttUNet,otherscanners,ses-01,anat,sub-chuv109_ses-01_acq-haste_run-1_T2w,0.673462986946106,0.5076850652694702,61,19,6,20,0.3
AttUNet,otherscanners,ses-01,anat,sub-chuv109_ses-01_acq-haste_run-2_T2w,0.8595790266990662,0.7537384033203125,87,18,14,30,0.4666666666666667
AttUNet,otherscanners,ses-01,anat,sub-chuv109_ses-01_acq-haste_run-3_T2w,0.7316256761550903,0.5768215656280518,103,38,9,24,0.375
AttUNet,otherscanners,ses-01,anat,sub-chuv109_ses-01_acq-haste_run-4_T2w,0.630974531173706,0.4608931839466095,61,12,8,19,0.42105263157894735
AttUNet,otherscanners,ses-01,anat,sub-chuv117_ses-01_acq-haste_run-1_T2w,0.9107590317726135,0.8361409902572632,41,6,3,30,0.1
AttUNet,otherscanners,ses-01,anat,sub-chuv117_ses-01_acq-haste_run-2_T2w,0.8973543047904968,0.8138192296028137,52,7,6,28,0.21428571428571427
AttUNet,otherscanners,ses-01,anat,sub-chuv117_ses-01_acq-haste_run-3_T2w,0.8563972115516663,0.7488589286804199,69,21,10,21,0.47619047619047616
AttUNet,otherscanners,ses-01,anat,sub-chuv117_ses-01_acq-haste_run-4_T2w,0.9426262974739075,0.8914788365364075,47,6,9,27,0.3333333333333333
AttUNet,otherscanners,ses-01,anat,sub-chuv117_ses-01_acq-haste_run-5_T2w,0.8202967643737793,0.6953416466712952,88,38,14,18,0.7777777777777778
AttUNet,otherscanners,ses-01,anat,sub-chuv117_ses-01_acq-haste_run-6_T2w,0.9466596841812134,0.8987216353416443,37,6,4,28,0.14285714285714285
AttUNet,otherscanners,ses-01,anat,sub-chuv120_ses-01_acq-haste_run-10_T2w,0.9016737341880798,0.8209525942802429,21,1,0,21,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv120_ses-01_acq-haste_run-1_T2w,0.9501723051071167,0.9050745368003845,20,3,3,16,0.1875
AttUNet,otherscanners,ses-01,anat,sub-chuv120_ses-01_acq-haste_run-2_T2w,0.9617567658424377,0.9263308048248291,18,3,1,16,0.0625
AttUNet,otherscanners,ses-01,anat,sub-chuv120_ses-01_acq-haste_run-3_T2w,0.9777034521102905,0.9563795328140259,18,1,0,18,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv120_ses-01_acq-haste_run-4_T2w,0.976592481136322,0.9542557001113892,19,1,0,19,0.0
AttUNet,otherscanners,ses-01,anat,sub-chuv120_ses-01_acq-haste_run-6_T2w,0.8629631400108337,0.7589578628540039,23,3,1,21,0.047619047619047616
AttUNet,otherscanners,ses-01,anat,sub-chuv120_ses-01_acq-haste_run-7_T2w,0.9785668253898621,0.9580331444740295,18,1,0,18,0.0
