Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.9325782656669617,0.8736737370491028,53,2,3,50,0.06
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.9467182755470276,0.8988271951675415,47,3,5,40,0.125
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.2844882607460022,0.16583289206027985,44,4,13,27,0.48148148148148145
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.8847808241844177,0.7933694124221802,111,6,33,51,0.6470588235294118
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.8299115896224976,0.709272563457489,55,3,10,44,0.22727272727272727
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.25808459520339966,0.148161381483078,61,7,14,34,0.4117647058823529
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.781072735786438,0.6407870054244995,124,6,32,67,0.47761194029850745
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.930598258972168,0.8702045679092407,49,2,2,47,0.0425531914893617
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.22002637386322021,0.12361215800046921,19,3,2,16,0.125
AttUNet,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.9604638814926147,0.923935055732727,73,3,9,62,0.14516129032258066
AttUNet,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.9617717862129211,0.9263587594032288,70,5,9,58,0.15517241379310345
AttUNet,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.8349716067314148,0.7166963815689087,82,10,12,51,0.23529411764705882
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-01_T2w,0.9529576897621155,0.9101424813270569,56,2,6,50,0.12
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-04_T2w,0.9449832439422607,0.8957045078277588,72,6,13,49,0.2653061224489796
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-07_T2w,0.8385503888130188,0.7219860553741455,108,13,17,44,0.38636363636363635
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-02_T2w,0.9525086879730225,0.9093237519264221,79,3,9,67,0.13432835820895522
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-05_T2w,0.9515735507011414,0.9076206684112549,78,3,8,66,0.12121212121212122
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-08_T2w,0.8810669779777527,0.7874171137809753,75,4,9,59,0.15254237288135594
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-03_T2w,0.9707757830619812,0.9432111978530884,58,2,2,56,0.03571428571428571
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-06_T2w,0.9681746363639832,0.9383124709129333,70,3,4,65,0.06153846153846154
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-09_T2w,0.8916501998901367,0.8044844269752502,68,7,9,48,0.1875
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-ax_run-01_T2w,0.9743614196777344,0.9500045776367188,63,3,6,54,0.1111111111111111
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-ax_run-04_T2w,0.9705470204353333,0.9427794218063354,74,8,6,56,0.10714285714285714
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-ax_run-07_T2w,0.908962070941925,0.8331167697906494,73,8,14,49,0.2857142857142857
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-cor_run-02_T2w,0.9746874570846558,0.9506247639656067,69,3,3,65,0.046153846153846156
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-cor_run-05_T2w,0.9448079466819763,0.8953896164894104,87,6,10,71,0.14084507042253522
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-cor_run-08_T2w,0.9016348123550415,0.8208880424499512,98,8,19,61,0.3114754098360656
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-sag_run-03_T2w,0.9576426148414612,0.918727695941925,93,4,15,72,0.20833333333333334
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-sag_run-06_T2w,0.9647201299667358,0.9318447709083557,87,4,13,70,0.18571428571428572
AttUNet,highfield,highfield,sub-004,sub-004_ses-01_acq-sag_run-09_T2w,0.9203713536262512,0.8524888157844543,97,6,18,62,0.2903225806451613
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-ax_run-01_T2w,0.9695864915847778,0.9409683346748352,74,2,8,66,0.12121212121212122
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-ax_run-04_T2w,0.9763396382331848,0.9537730813026428,76,3,10,64,0.15625
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-ax_run-07_T2w,0.9447788000106812,0.8953372836112976,95,9,19,61,0.3114754098360656
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-cor_run-02_T2w,0.9620842933654785,0.9269387125968933,80,2,2,78,0.02564102564102564
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-cor_run-05_T2w,0.9628247022628784,0.9283143877983093,82,2,3,79,0.0379746835443038
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-cor_run-08_T2w,0.9108898043632507,0.8363614082336426,104,17,9,73,0.1232876712328767
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-sag_run-03_T2w,0.9723660945892334,0.9462183117866516,87,6,10,66,0.15151515151515152
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-sag_run-06_T2w,0.9723649024963379,0.9462161064147949,82,3,9,71,0.1267605633802817
AttUNet,highfield,highfield,sub-005,sub-005_ses-01_acq-sag_run-09_T2w,0.903171718120575,0.8234394788742065,196,11,43,68,0.6323529411764706
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-ax_run-01_T2w,0.9324526786804199,0.8734532594680786,21,3,2,18,0.1111111111111111
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-ax_run-04_T2w,0.9255978465080261,0.8615003824234009,23,3,3,19,0.15789473684210525
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-ax_run-07_T2w,0.8383334279060364,0.7216644287109375,32,7,4,18,0.2222222222222222
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-cor_run-02_T2w,0.9302245378494263,0.8695511221885681,23,2,2,21,0.09523809523809523
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-cor_run-05_T2w,0.9284034371376038,0.8663740754127502,23,3,1,21,0.047619047619047616
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-cor_run-08_T2w,0.8134627342224121,0.6855770945549011,47,10,9,19,0.47368421052631576
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-sag_run-03_T2w,0.9123494029045105,0.8388257622718811,20,2,2,18,0.1111111111111111
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-sag_run-06_T2w,0.9023162126541138,0.8220183253288269,17,1,0,17,0.0
AttUNet,highfield,highfield,sub-006,sub-006_ses-01_acq-sag_run-09_T2w,0.8380587100982666,0.7212573289871216,33,8,6,16,0.375
