Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.9670743346214294,0.936247706413269,29,4,6,16,0.375
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.5562242865562439,0.38525667786598206,54,11,9,16,0.5625
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.050176218152046204,0.025733720511198044,8,6,1,3,0.3333333333333333
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.948103129863739,0.9013270735740662,22,2,3,19,0.15789473684210525
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.8462650775909424,0.7335004210472107,51,14,8,21,0.38095238095238093
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.03961748629808426,0.02020905911922455,3,2,1,2,0.5
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.8889724016189575,0.8001352548599243,20,3,3,16,0.1875
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.7752954363822937,0.6330469250679016,42,7,11,15,0.7333333333333333
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.004033782985061407,0.002020967425778508,11,4,2,5,0.4
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.7919487357139587,0.6555588841438293,37,11,4,16,0.25
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.3724201023578644,0.22881832718849182,26,4,10,11,0.9090909090909091
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.008588181808590889,0.004312609322369099,12,8,2,4,0.5
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-02_T2w,0.6070975661277771,0.43585076928138733,58,9,8,15,0.5333333333333333
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-05_T2w,0.29938969016075134,0.1760483682155609,33,5,10,12,0.8333333333333334
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-08_T2w,0.021625053137540817,0.010930715128779411,11,7,2,4,0.5
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-03_T2w,0.7234533429145813,0.5667268633842468,55,9,10,15,0.6666666666666666
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-06_T2w,0.005903386045247316,0.0029604313895106316,8,3,2,5,0.4
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-09_T2w,0.0,0.0,0,0,0,0,
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-01_T2w,0.8464346528053284,0.7337552309036255,14,3,2,11,0.18181818181818182
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-04_T2w,0.639394998550415,0.4699343144893646,22,5,7,9,0.7777777777777778
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-07_T2w,0.2007921040058136,0.11160027980804443,11,3,5,5,1.0
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-cor_run-02_T2w,0.8544811010360718,0.7459335923194885,27,7,5,17,0.29411764705882354
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-cor_run-05_T2w,0.7455361485481262,0.5943065881729126,30,8,5,14,0.35714285714285715
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-cor_run-08_T2w,0.0838509351015091,0.04376012831926346,2,1,0,2,0.0
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-sag_run-03_T2w,0.8505999445915222,0.7400382161140442,19,3,4,12,0.3333333333333333
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-sag_run-06_T2w,0.7629852294921875,0.6167955994606018,12,2,3,9,0.3333333333333333
AttUNet,lowfield,lowfield,sub-003,sub-003_ses-01_acq-sag_run-09_T2w,0.07658157497644424,0.03981534764170647,9,2,3,6,0.5
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-ax_run-01_T2w,0.8967435956001282,0.8128151893615723,25,4,4,17,0.23529411764705882
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-ax_run-04_T2w,0.6957199573516846,0.5334129929542542,25,7,4,13,0.3076923076923077
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-ax_run-07_T2w,0.07533285021781921,0.039140716195106506,20,8,4,7,0.5714285714285714
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-cor_run-02_T2w,0.8975393176078796,0.8141236305236816,28,2,6,22,0.2727272727272727
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-cor_run-05_T2w,0.6839592456817627,0.5197097659111023,47,8,9,22,0.4090909090909091
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-cor_run-08_T2w,0.19406555593013763,0.1074599102139473,18,3,6,9,0.6666666666666666
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-sag_run-03_T2w,0.8349514603614807,0.7166666388511658,44,13,9,17,0.5294117647058824
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-sag_run-06_T2w,0.6885173916816711,0.5249916315078735,38,8,7,15,0.4666666666666667
AttUNet,lowfield,lowfield,sub-004,sub-004_ses-01_acq-sag_run-09_T2w,0.012041032314300537,0.006056982558220625,11,4,3,5,0.6
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-ax_run-01_T2w,0.8371686935424805,0.7199399471282959,20,4,2,14,0.14285714285714285
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-ax_run-04_T2w,0.6654197573661804,0.49859851598739624,34,8,7,14,0.5
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-ax_run-07_T2w,0.14543621242046356,0.0784207135438919,21,5,6,7,0.8571428571428571
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-cor_run-02_T2w,0.9080988168716431,0.8316675424575806,24,4,3,19,0.15789473684210525
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-cor_run-05_T2w,0.6861155033111572,0.522203803062439,40,14,7,17,0.4117647058823529
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-cor_run-08_T2w,0.017686225473880768,0.008922011591494083,11,4,3,5,0.6
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-sag_run-03_T2w,0.7542022466659546,0.6053969860076904,29,6,5,15,0.3333333333333333
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-sag_run-06_T2w,0.6220046281814575,0.45138368010520935,24,5,6,13,0.46153846153846156
AttUNet,lowfield,lowfield,sub-005,sub-005_ses-01_acq-sag_run-09_T2w,0.07825713604688644,0.04072196036577225,13,4,4,4,1.0
AttUNet,lowfield,lowfield,sub-006,sub-006_ses-01_acq-ax_run-01_T2w,0.9230678677558899,0.8571271896362305,23,6,2,16,0.125
AttUNet,lowfield,lowfield,sub-006,sub-006_ses-01_acq-ax_run-04_T2w,0.8345565795898438,0.7160850167274475,31,7,3,17,0.17647058823529413
AttUNet,lowfield,lowfield,sub-006,sub-006_ses-01_acq-ax_run-07_T2w,0.028911322355270386,0.014667692594230175,19,6,5,5,1.0
