Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.9220684766769409,0.8554053902626038,55,3,4,49,0.08163265306122448
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.9457785487174988,0.8971346020698547,44,3,3,40,0.075
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.5818851590156555,0.41032302379608154,48,5,7,33,0.21212121212121213
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.9092965722084045,0.8336790800094604,107,5,32,50,0.64
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.8600399494171143,0.7544474601745605,53,3,4,47,0.0851063829787234
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.4079841673374176,0.2562689185142517,47,3,10,34,0.29411764705882354
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.7888743281364441,0.6513562798500061,117,8,29,66,0.4393939393939394
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.9351221919059753,0.878149688243866,59,6,5,48,0.10416666666666667
AttUNet,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.3681187033653259,0.22557932138442993,29,5,4,22,0.18181818181818182
AttUNet,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.9596352577209473,0.9224027395248413,68,2,9,59,0.15254237288135594
AttUNet,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.9657837748527527,0.9338315725326538,65,2,6,59,0.1016949152542373
AttUNet,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.9444718360900879,0.8947860598564148,76,5,11,58,0.1896551724137931
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-01_T2w,0.9546875953674316,0.9133036136627197,54,3,4,49,0.08163265306122448
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-04_T2w,0.9503843188285828,0.9054593443870544,66,4,12,49,0.24489795918367346
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-07_T2w,0.7753448486328125,0.6331128478050232,118,15,19,43,0.4418604651162791
AttUNet,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-02_T2w,0.9529929161071777,0.9102067947387695,79,6,10,65,0.15384615384615385
