Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.9740114808082581,0.9493395090103149,28,4,7,17,0.4117647058823529
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.7954792380332947,0.6604114174842834,36,10,7,16,0.4375
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.03709651157259941,0.018898796290159225,8,2,3,5,0.6
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.9567089676856995,0.9170106649398804,24,2,2,22,0.09090909090909091
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.7872202396392822,0.6491040587425232,53,13,7,20,0.35
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.07626570761203766,0.03964461758732796,22,5,8,8,1.0
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.9306751489639282,0.8703389763832092,24,6,3,17,0.17647058823529413
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.8252058625221252,0.7024259567260742,46,10,11,17,0.6470588235294118
AttUNet,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.029882656410336494,0.015167958103120327,13,4,3,6,0.5
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.9179017543792725,0.8482610583305359,28,5,4,18,0.2222222222222222
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.39440277218818665,0.24564240872859955,38,7,10,14,0.7142857142857143
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.04669343680143356,0.023904819041490555,16,6,4,7,0.5714285714285714
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-02_T2w,0.7135325074195862,0.5546448230743408,58,9,9,18,0.5
AttUNet,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-05_T2w,0.4214976727962494,0.26702380180358887,66,10,13,19,0.6842105263157895
