Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-1_T2w,0.9587922096252441,0.9208462238311768,18,1,0,18,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-2_T2w,0.9546136260032654,0.9131682515144348,18,1,0,18,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-3_T2w,0.9531010985374451,0.9104040861129761,19,2,1,18,0.05555555555555555
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-4_T2w,0.9499457478523254,0.9046634435653687,23,3,3,19,0.15789473684210525
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-5_T2w,0.9450805187225342,0.8958792686462402,30,6,6,20,0.3
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_echo-6_T2w,0.9351212978363037,0.8781481385231018,37,5,9,23,0.391304347826087
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-1_T2w,0.9412529468536377,0.8890252709388733,26,3,3,21,0.14285714285714285
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-2_T2w,0.9404341578483582,0.887565553188324,26,4,3,20,0.15
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-3_T2w,0.9413622617721558,0.8892203569412231,24,3,2,20,0.1
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_echo-4_T2w,0.9449131488800049,0.8955785036087036,25,4,2,20,0.1
