Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_T2w,0.9573857188224792,0.9182549715042114,18,2,1,17,0.058823529411764705
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_T2w,0.9522265791893005,0.9088096022605896,25,3,2,21,0.09523809523809523
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_T2w,0.9445039629936218,0.8948436975479126,24,2,1,23,0.043478260869565216
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_T2w,0.9589630961418152,0.9211614727973938,28,6,2,22,0.09090909090909091
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_T2w,0.9561067819595337,0.9159047603607178,31,10,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_T2w,0.9655588865280151,0.9334111213684082,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_T2w,0.9459205269813538,0.8973901867866516,27,3,3,22,0.13636363636363635
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_T2w,0.9747393727302551,0.9507234692573547,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_T2w,0.9665146470069885,0.9351992011070251,22,1,0,22,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-7_T2w,0.961868405342102,0.9265379905700684,11,2,1,10,0.1
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_T2w,0.9663355350494385,0.934863805770874,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-9_T2w,0.9424736499786377,0.8912058472633362,11,2,1,10,0.1
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_T2w,0.9695720672607422,0.9409411549568176,23,1,0,23,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-2_T2w,0.0,0.0,2,1,0,2,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-3_T2w,0.967021107673645,0.9361479878425598,25,1,0,25,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-4_T2w,0.9612328410148621,0.925359308719635,32,3,7,24,0.2916666666666667
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-5_T2w,0.9479327201843262,0.9010190367698669,32,3,4,26,0.15384615384615385
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-6_T2w,0.9674570560455322,0.9369654059410095,22,1,0,22,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-7_T2w,0.960476815700531,0.9239590167999268,24,1,0,24,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-1_T2w,0.9752607941627502,0.9517160654067993,28,1,0,28,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-2_T2w,0.9736977815628052,0.9487437605857849,22,1,0,22,0.0
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-3_T2w,0.6308615207672119,0.4607726037502289,17,4,2,11,0.18181818181818182
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-4_T2w,0.8776925802230835,0.7820429801940918,25,3,3,20,0.15
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-5_T2w,0.9366024732589722,0.8807642459869385,41,6,9,20,0.45
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-6_T2w,0.8834667801856995,0.7912588715553284,15,2,2,13,0.15384615384615385
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-7_T2w,0.7897459864616394,0.6525456309318542,42,6,9,20,0.45
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-8_T2w,0.8071492314338684,0.6766557097434998,19,6,2,13,0.15384615384615385
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv024_ses-01_acq-haste_run-9_T2w,0.824068546295166,0.7007794380187988,31,9,3,21,0.14285714285714285
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-2_T2w,0.9789711236953735,0.9588084816932678,29,2,4,25,0.16
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-3_T2w,0.9610008001327515,0.9249292612075806,50,20,4,24,0.16666666666666666
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-4_T2w,0.7426884770393372,0.5906956791877747,29,3,4,24,0.16666666666666666
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-5_T2w,0.9678617715835571,0.9377250075340271,33,2,1,32,0.03125
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-6_T2w,0.9739893078804016,0.9492973685264587,24,2,1,23,0.043478260869565216
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-7_T2w,0.9768223762512207,0.9546948075294495,32,2,3,29,0.10344827586206896
AttUNet_checkpoint-48,otherscanners,ses-01,anat,sub-chuv038_ses-01_acq-haste_run-8_T2w,0.9714488983154297,0.9444828629493713,27,1,0,27,0.0
