Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.9265831708908081,0.863209068775177,44,2,2,42,0.047619047619047616
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.9193398952484131,0.8507206439971924,46,2,3,43,0.06976744186046512
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.6140077114105225,0.44300946593284607,41,6,7,28,0.25
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.9100779294967651,0.8349935412406921,48,1,0,48,0.0
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.8717532157897949,0.7726618647575378,49,3,5,42,0.11904761904761904
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.6660353541374207,0.4992901384830475,82,9,9,40,0.225
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.9077988862991333,0.8311645984649658,51,2,4,47,0.0851063829787234
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.9060523509979248,0.8282410502433777,48,2,1,47,0.02127659574468085
AttUNet_checkpoint-48,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.6088541150093079,0.4376637637615204,64,9,11,30,0.36666666666666664
AttUNet_checkpoint-48,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.9338257908821106,0.8758660554885864,56,2,2,54,0.037037037037037035
AttUNet_checkpoint-48,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.9435669779777527,0.8931631445884705,65,3,6,58,0.10344827586206896
AttUNet_checkpoint-48,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.8740734457969666,0.7763147950172424,65,6,8,47,0.1702127659574468
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-01_T2w,0.9007850885391235,0.8194804787635803,68,3,14,51,0.27450980392156865
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-04_T2w,0.923358142375946,0.8576279282569885,68,4,14,48,0.2916666666666667
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-07_T2w,0.8511776328086853,0.7409132122993469,73,7,13,47,0.2765957446808511
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-02_T2w,0.9061839580535889,0.8284610509872437,78,3,14,61,0.22950819672131148
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-05_T2w,0.9201211333274841,0.852059543132782,82,3,12,65,0.18461538461538463
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-08_T2w,0.8151699900627136,0.688005805015564,103,12,13,55,0.23636363636363636
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-03_T2w,0.9496095776557922,0.9040539860725403,59,4,1,56,0.017857142857142856
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-06_T2w,0.9463046193122864,0.8980817198753357,71,3,4,66,0.06060606060606061
AttUNet_checkpoint-48,highfield,highfield,sub-003,sub-003_ses-01_acq-sag_run-09_T2w,0.8578463792800903,0.7510779500007629,78,11,8,47,0.1702127659574468
AttUNet_checkpoint-48,highfield,highfield,sub-004,sub-004_ses-01_acq-ax_run-01_T2w,0.9455779790878296,0.8967736959457397,63,9,4,52,0.07692307692307693
