Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.8119269013404846,0.6833981275558472,21,3,5,14,0.35714285714285715
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.4975740611553192,0.3311804234981537,24,4,7,12,0.5833333333333334
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.04818717762827873,0.024688420817255974,9,4,3,3,1.0
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.843074381351471,0.7287195920944214,37,8,6,19,0.3157894736842105
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.7474173307418823,0.5967009663581848,46,5,13,19,0.6842105263157895
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.25989627838134766,0.14935678243637085,45,7,11,14,0.7857142857142857
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.8363588452339172,0.7187429070472717,20,4,3,15,0.2
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.8054014444351196,0.6742026209831238,35,7,8,15,0.5333333333333333
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.5652247071266174,0.39394649863243103,40,6,10,14,0.7142857142857143
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.8060696721076965,0.6751396059989929,27,4,7,13,0.5384615384615384
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.6523743271827698,0.4840916395187378,32,5,9,13,0.6923076923076923
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.10730494558811188,0.056694258004426956,31,11,5,5,1.0
