Method,Modality,Type,Subject,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9214979410171509,0.8544238805770874,44,2,2,42,0.047619047619047616
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9097670912742615,0.8344704508781433,46,2,2,44,0.045454545454545456
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.8329570293426514,0.7137329578399658,36,2,2,34,0.058823529411764705
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.8987924456596375,0.8161880970001221,51,4,4,45,0.08888888888888889
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.8586156964302063,0.7522581815719604,50,5,3,43,0.06976744186046512
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.8002223372459412,0.6669754981994629,58,11,5,36,0.1388888888888889
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9029481410980225,0.8230679035186768,56,3,5,50,0.1
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.8816668391227722,0.7883758544921875,47,2,2,45,0.044444444444444446
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.8061773180961609,0.6752907037734985,54,9,6,34,0.17647058823529413
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9363005757331848,0.8802304267883301,63,2,5,58,0.08620689655172414
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9435335397720337,0.8931032419204712,66,7,5,56,0.08928571428571429
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9263980984687805,0.8628878593444824,57,2,3,54,0.05555555555555555
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9024267792701721,0.8222019076347351,61,4,9,49,0.1836734693877551
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9120544791221619,0.8383273482322693,60,3,9,47,0.19148936170212766
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.902877151966095,0.8229498863220215,57,4,8,46,0.17391304347826086
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9054616689682007,0.8272544145584106,79,4,12,62,0.1935483870967742
AttUNet_checkpoint-48,otherscanners,ses-01,anat,0.9030427932739258,0.823225200176239,86,6,13,62,0.20967741935483872
