Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.7429559230804443,0.5910341143608093,21,4,4,12,0.3333333333333333
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.5281828045845032,0.358864426612854,35,6,11,13,0.8461538461538461
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.12212274968624115,0.06503234058618546,27,7,5,8,0.625
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.7775335311889648,0.6360366940498352,59,7,13,20,0.65
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.7242770791053772,0.5677385926246643,66,8,14,19,0.7368421052631579
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.34502023458480835,0.20847399532794952,67,10,12,15,0.8
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.7809235453605652,0.6405861973762512,35,5,9,17,0.5294117647058824
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.7922791838645935,0.6560118198394775,26,4,4,16,0.25
AttUNet_checkpoint-48,lowfield,lowfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.5811083316802979,0.40955087542533875,25,5,6,13,0.46153846153846156
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.6996811032295227,0.5380842685699463,33,6,9,14,0.6428571428571429
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.5606750249862671,0.38954025506973267,48,10,9,10,0.9
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.3005148470401764,0.17682699859142303,52,12,8,8,1.0
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-02_T2w,0.462566614151001,0.3008693754673004,73,13,14,17,0.8235294117647058
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-05_T2w,0.6578943133354187,0.4901956021785736,33,4,11,16,0.6875
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-cor_run-08_T2w,0.241183340549469,0.13712818920612335,59,7,12,17,0.7058823529411765
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-03_T2w,0.5483422875404358,0.3777352273464203,57,7,16,19,0.8421052631578947
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-06_T2w,0.3329505920410156,0.199724480509758,45,7,10,14,0.7142857142857143
AttUNet_checkpoint-48,lowfield,lowfield,sub-002,sub-002_ses-01_acq-sag_run-09_T2w,0.04613185301423073,0.02361052669584751,15,5,3,5,0.6
AttUNet_checkpoint-48,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-01_T2w,0.7516962885856628,0.6021741628646851,13,5,1,9,0.1111111111111111
AttUNet_checkpoint-48,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-04_T2w,0.759964108467102,0.6128565073013306,11,4,1,8,0.125
AttUNet_checkpoint-48,lowfield,lowfield,sub-003,sub-003_ses-01_acq-ax_run-07_T2w,0.7958436608314514,0.6609139442443848,9,2,1,8,0.125
AttUNet_checkpoint-48,lowfield,lowfield,sub-003,sub-003_ses-01_acq-cor_run-02_T2w,0.9000415205955505,0.8182504773139954,20,3,2,17,0.11764705882352941
AttUNet_checkpoint-48,lowfield,lowfield,sub-003,sub-003_ses-01_acq-cor_run-05_T2w,0.8589234948158264,0.7527309060096741,15,3,1,13,0.07692307692307693
