Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-1_T2w,0.956767737865448,0.9171186089515686,19,2,1,18,0.05555555555555555
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-2_T2w,0.9480283856391907,0.9011920094490051,24,4,2,19,0.10526315789473684
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv008_ses-01_acq-haste_run-3_T2w,0.941800594329834,0.8900029063224792,25,2,1,24,0.041666666666666664
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-10_T2w,0.9532128572463989,0.9106081128120422,22,1,0,22,0.0
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-1_T2w,0.9601529240608215,0.9233596920967102,22,1,0,22,0.0
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-2_T2w,0.9608238339424133,0.9246014356613159,23,1,0,23,0.0
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-3_T2w,0.9361520409584045,0.8799679279327393,30,5,5,22,0.22727272727272727
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-4_T2w,0.9692834615707397,0.9403976798057556,24,3,1,22,0.045454545454545456
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-5_T2w,0.9632842540740967,0.9291690587997437,23,2,1,22,0.045454545454545456
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-7_T2w,0.9688436388969421,0.9395700693130493,11,2,1,10,0.1
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-8_T2w,0.9601054191589355,0.923271894454956,24,2,1,23,0.043478260869565216
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv016_ses-01_acq-haste_run-9_T2w,0.9449687600135803,0.8956784605979919,10,1,0,10,0.0
AttUNet_checkpoint-70,otherscanners,ses-01,anat,sub-chuv021_ses-01_acq-haste_run-1_T2w,0.9665718674659729,0.9353063106536865,24,2,1,23,0.043478260869565216
