Method,Modality,Type,Subject,Volume,Dice,IoU,n_comp_2d,max_comp_slice,n_slices_multi,n_slices_fg,frac_slices_multi
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-01_T2w,0.9160175919532776,0.8450484275817871,52,8,4,41,0.0975609756097561
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-04_T2w,0.9161834120750427,0.8453307151794434,43,2,1,42,0.023809523809523808
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-ax_run-07_T2w,0.7604008913040161,0.6134248971939087,35,4,3,30,0.1
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-02_T2w,0.8945386409759521,0.8091993927955627,46,2,1,45,0.022222222222222223
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-05_T2w,0.8206019997596741,0.6957803964614868,57,5,8,45,0.17777777777777778
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-cor_run-08_T2w,0.8498106598854065,0.7388441562652588,41,2,2,39,0.05128205128205128
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-03_T2w,0.8924608826637268,0.8058053255081177,65,4,9,52,0.17307692307692307
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-06_T2w,0.8940551280975342,0.8084083795547485,46,1,0,46,0.0
AttUNet_checkpoint-70,highfield,highfield,sub-001,sub-001_ses-01_acq-sag_run-09_T2w,0.848872721195221,0.7374273538589478,49,6,4,37,0.10810810810810811
AttUNet_checkpoint-70,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-01_T2w,0.9498314261436462,0.9044560790061951,63,3,4,57,0.07017543859649122
AttUNet_checkpoint-70,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-04_T2w,0.9472929239273071,0.8998637199401855,70,5,4,61,0.06557377049180328
AttUNet_checkpoint-70,highfield,highfield,sub-002,sub-002_ses-01_acq-ax_run-07_T2w,0.9236215949058533,0.8580825924873352,68,3,9,57,0.15789473684210525
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-01_T2w,0.930226743221283,0.8695550560951233,52,2,3,49,0.061224489795918366
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-04_T2w,0.9182847738265991,0.8489154577255249,67,5,12,48,0.25
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-ax_run-07_T2w,0.9267899990081787,0.8635681867599487,62,7,7,48,0.14583333333333334
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-02_T2w,0.9116225242614746,0.8375977277755737,72,4,7,63,0.1111111111111111
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-05_T2w,0.9123194217681885,0.8387751579284668,90,6,13,65,0.2
AttUNet_checkpoint-70,highfield,highfield,sub-003,sub-003_ses-01_acq-cor_run-08_T2w,0.9041476845741272,0.8250634670257568,77,4,12,63,0.19047619047619047
